TIME + ID,,,,INPUTS,,,,,,OUTPUTS,,,,,
LineNr,ID,Time scheduled [hh::mm],,Rotor speed [% rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Shell [-],,Time measured  [hh::mm],Rotor speed [rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Defl. Angle [deg]
269,20-0-30-10-C,11:47,,20,0,30,10,C,,,,,,,
270,20-0-30-12-C,11:47,,20,0,30,12,C,,,,,,,
271,20-0-30-16-C,11:48,,20,0,30,16,C,,,,,,,
272,20-0-30-20-C,11:48,,20,0,30,20,C,,,,,,,
273,30-0-30-0-C,11:49,,30,0,30,0,C,,,,,,,
274,30-0-30-4-C,11:49,,30,0,30,4,C,,,,,,,
275,30-0-30-6-C,11:50,,30,0,30,6,C,,,,,,,
276,30-0-30-8-C,11:50,,30,0,30,8,C,,,,,,,
277,30-0-30-10-C,11:51,,30,0,30,10,C,,,,,,,
278,30-0-30-12-C,11:51,,30,0,30,12,C,,,,,,,
279,30-0-30-16-C,11:52,,30,0,30,16,C,,,,,,,
280,30-0-30-20-C,11:52,,30,0,30,20,C,,,,,,,
281,40-0-30-0-C,11:53,,40,0,30,0,C,,,,,,,
282,40-0-30-4-C,11:53,,40,0,30,4,C,,,,,,,
283,40-0-30-6-C,11:54,,40,0,30,6,C,,,,,,,
284,40-0-30-8-C,11:54,,40,0,30,8,C,,,,,,,
285,40-0-30-10-C,11:55,,40,0,30,10,C,,,,,,,
286,40-0-30-12-C,11:55,,40,0,30,12,C,,,,,,,
287,40-0-30-16-C,11:56,,40,0,30,16,C,,,,,,,
288,40-0-30-20-C,11:56,,40,0,30,20,C,,,,,,,
289,20-7.5-5-0-C,13:30,,20,7.5,5,0,C,,,,,,,
290,20-7.5-5-4-C,13:30,,20,7.5,5,4,C,,,,,,,
291,20-7.5-5-6-C,13:31,,20,7.5,5,6,C,,,,,,,
292,20-7.5-5-8-C,13:31,,20,7.5,5,8,C,,,,,,,
293,20-7.5-5-10-C,13:32,,20,7.5,5,10,C,,,,,,,
294,20-7.5-5-12-C,13:32,,20,7.5,5,12,C,,,,,,,
295,20-7.5-5-16-C,13:33,,20,7.5,5,16,C,,,,,,,
296,20-7.5-5-20-C,13:33,,20,7.5,5,20,C,,,,,,,
297,30-7.5-5-0-C,13:34,,30,7.5,5,0,C,,,,,,,
298,30-7.5-5-4-C,13:34,,30,7.5,5,4,C,,,,,,,
299,30-7.5-5-6-C,13:35,,30,7.5,5,6,C,,,,,,,
300,30-7.5-5-8-C,13:35,,30,7.5,5,8,C,,,,,,,
301,30-7.5-5-10-C,13:36,,30,7.5,5,10,C,,,,,,,
302,30-7.5-5-12-C,13:36,,30,7.5,5,12,C,,,,,,,
303,30-7.5-5-16-C,13:37,,30,7.5,5,16,C,,,,,,,
304,30-7.5-5-20-C,13:37,,30,7.5,5,20,C,,,,,,,
305,40-7.5-5-0-C,13:38,,40,7.5,5,0,C,,,,,,,
306,40-7.5-5-4-C,13:38,,40,7.5,5,4,C,,,,,,,
307,40-7.5-5-6-C,13:39,,40,7.5,5,6,C,,,,,,,
308,40-7.5-5-8-C,13:39,,40,7.5,5,8,C,,,,,,,
309,40-7.5-5-10-C,13:40,,40,7.5,5,10,C,,,,,,,
310,40-7.5-5-12-C,13:40,,40,7.5,5,12,C,,,,,,,
311,40-7.5-5-16-C,13:41,,40,7.5,5,16,C,,,,,,,
312,40-7.5-5-20-C,13:41,,40,7.5,5,20,C,,,,,,,
313,20-7.5-10-0-C,13:42,,20,7.5,10,0,C,,,,,,,
314,20-7.5-10-4-C,13:42,,20,7.5,10,4,C,,,,,,,
315,20-7.5-10-6-C,13:43,,20,7.5,10,6,C,,,,,,,
316,20-7.5-10-8-C,13:43,,20,7.5,10,8,C,,,,,,,
