t1550845688.13 U20.8336812318 I-71.9908 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845688.23 U20.8403312181 I-71.9838 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845688.34 U20.858656225 I-71.9873 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845688.45 U20.8664812318 I-71.9908 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845688.56 U20.8516812318 I-71.9908 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845688.67 U20.8446062387 I-71.9943 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845688.77 U20.8358812318 I-71.9908 T_a14.5 T_p16.931418062 R0.407144818947, 
t1550845688.88 U20.8474812318 I-71.9908 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845688.99 U20.8399654968 I-71.9802 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845689.1 U20.8705654968 I-71.9802 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845689.21 U20.843956225 I-71.9873 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845689.31 U20.8632812318 I-71.9908 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845689.42 U20.8239312456 I-71.9978 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845689.53 U20.8234312181 I-71.9838 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845689.64 U20.8587312456 I-71.9978 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845689.75 U20.8584062387 I-71.9943 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845689.85 U20.829156225 I-71.9873 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845689.96 U20.8277062387 I-71.9943 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845690.07 U20.834456225 I-71.9873 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845690.18 U20.8653812318 I-71.9908 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845690.29 U20.8637219738 I-72.0049 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845690.39 U20.8531062387 I-71.9943 T_a14.5 T_p17.1766732455 R0.407144818947, 
t1550845690.5 U20.8509312181 I-71.9838 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845690.61 U20.8598312456 I-71.9978 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845690.72 U20.8294812318 I-71.9908 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845690.83 U20.831256225 I-71.9873 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845690.93 U20.8531062387 I-71.9943 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845691.05 U20.8436062387 I-71.9943 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845691.16 U20.8256312181 I-71.9838 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845691.26 U20.855556225 I-71.9873 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845691.37 U20.8629312456 I-71.9978 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845691.48 U20.8462654968 I-71.9802 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845691.59 U20.8330312181 I-71.9838 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845691.7 U20.8171312181 I-71.9838 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845691.8 U20.8457062387 I-71.9943 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845691.91 U20.8537812318 I-71.9908 T_a14.5 T_p17.4380084085 R0.407144818947, 
t1550845692.02 U20.8362062387 I-71.9943 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845692.13 U20.8510062387 I-71.9943 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845692.24 U20.8462654968 I-71.9802 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845692.34 U20.8224312181 I-71.9838 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845692.45 U20.8209654968 I-71.9802 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845692.56 U20.8198654968 I-71.9802 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845692.67 U20.831256225 I-71.9873 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845692.78 U20.856556225 I-71.9873 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845692.88 U20.8161312181 I-71.9838 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845692.99 U20.8319312181 I-71.9838 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845693.1 U20.8167654968 I-71.9802 T_a14.5 T_p17.6834358951 R0.407144818947, 
t1550845693.21 U20.8294812318 I-71.9908 T_a14.5 T_p17.6834358951 R0.407144818947, 
