LineNumber,ID,RPM,angle ,,,"LineNumber, ID, Timestamp(Unix), RPM, Power, Deflection"
603,17-10-74-0,74,0,,,
604,17-10-74-5,74,5,,,
605,17-10-74-10,74,10,,,
606,17-10-74-15,74,15,,,
607,17-10-74-20,74,20,,,
608,17-10-74-25,74,25,,,
609,17-10-74-30,74,30,,,
610,17-10-75-0,75,0,,,
611,17-10-75-5,75,5,,,
612,17-10-75-10,75,10,,,
613,17-10-75-15,75,15,,,
614,17-10-75-20,75,20,,,
615,17-10-75-25,75,25,,,
616,17-10-75-30,75,30,,,
617,17-15-71-0,71,0,,,
618,17-15-71-5,71,5,,,
619,17-15-71-10,71,10,,,
620,17-15-71-15,71,15,,,
621,17-15-71-20,71,20,,,
622,17-15-71-25,71,25,,,
623,17-15-71-30,71,30,,,
624,17-15-72-0,72,0,,,
625,17-15-72-5,72,5,,,
626,17-15-72-10,72,10,,,
627,17-15-72-15,72,15,,,
628,17-15-72-20,72,20,,,
629,17-15-72-25,72,25,,,
630,17-15-72-30,72,30,,,
631,17-15-73-0,73,0,,,
632,17-15-73-5,73,5,,,
633,17-15-73-10,73,10,,,
634,17-15-73-15,73,15,,,
635,17-15-73-20,73,20,,,
636,17-15-73-25,73,25,,,
637,17-15-73-30,73,30,,,
638,17-15-74-0,74,0,,,
639,17-15-74-5,74,5,,,
640,17-15-74-10,74,10,,,
641,17-15-74-15,74,15,,,
642,17-15-74-20,74,20,,,
643,17-15-74-25,74,25,,,
644,17-15-74-30,74,30,,,
645,17-15-75-0,75,0,,,
646,17-15-75-5,75,5,,,
647,17-15-75-10,75,10,,,
648,17-15-75-15,75,15,,,
649,17-15-75-20,75,20,,,
650,17-15-75-25,75,25,,,
651,17-15-75-30,75,30,,,
652,17-17.5-71-0,71,0,,,
653,17-17.5-71-5,71,5,,,
654,17-17.5-71-10,71,10,,,
655,17-17.5-71-15,71,15,,,
656,17-17.5-71-20,71,20,,,
657,17-17.5-71-25,71,25,,,
658,17-17.5-71-30,71,30,,,
659,17-17.5-72-0,72,0,,,
660,17-17.5-72-5,72,5,,,
661,17-17.5-72-10,72,10,,,
662,17-17.5-72-15,72,15,,,
663,17-17.5-72-20,72,20,,,
664,17-17.5-72-25,72,25,,,
665,17-17.5-72-30,72,30,,,
666,17-17.5-73-0,73,0,,,
667,17-17.5-73-5,73,5,,,
668,17-17.5-73-10,73,10,,,
669,,73,15,,,
670,,73,20,,,
671,,73,25,,,
672,,73,30,,,
673,,75,0,,,
674,17-17.5-75-5,75,5,,,
675,17-17.5-75-10,75,10,,,
676,17-17.5-75-15,75,15,,,
677,17-17.5-75-20,75,20,,,
678,17-17.5-75-25,75,25,,,
679,17-17.5-75-30,75,30,,,
680,19-5-71-0,71,0,,,
681,19-5-71-5,71,5,,,
682,19-5-71-10,71,10,,,
683,19-5-71-15,71,15,,,
684,19-5-71-20,71,20,,,
685,19-5-71-25,71,25,,,
686,19-5-71-30,71,30,,,
687,19-5-75-0,75,0,,,
688,19-5-75-5,75,5,,,
689,19-5-75-10,75,10,,,
690,19-5-75-15,75,15,,,
691,19-5-75-20,75,20,,,
692,19-5-75-25,75,25,,,
693,19-5-75-30,75,30,,,
694,19-10-71-0,71,0,,,
695,19-10-71-5,71,5,,,
696,19-10-71-10,71,10,,,
697,19-10-71-15,71,15,,,
698,19-10-71-20,71,20,,,
699,19-10-71-25,71,25,,,
700,19-10-71-30,71,30,,,
701,19-10-72-0,72,0,,,
702,19-10-72-5,72,5,,,
703,19-10-72-10,72,10,,,
704,19-10-72-15,72,15,,,
705,19-10-72-20,72,20,,,
706,19-10-72-25,72,25,,,
707,19-10-72-30,72,30,,,
708,,73,0,,,
709,,73,5,,,
710,,73,10,,,
711,,73,15,,,
712,,73,20,,,
713,,73,25,,,
714,,73,30,,,
715,,74,0,,,
716,,74,5,,,
717,,74,10,,,
718,,74,15,,,
719,,74,20,,,
720,,74,25,,,
721,,74,30,,,
722,,75,0,,,
723,,75,5,,,
724,,75,10,,,
725,,75,15,,,
726,,75,20,,,
727,,75,25,,,
728,,75,30,,,
729,,71,0,,,
730,,71,5,,,
731,,71,10,,,
732,,71,15,,,
733,,71,20,,,
734,,71,25,,,
735,,71,30,,,
736,,72,0,,,
737,,72,5,,,
738,,72,10,,,
739,,72,15,,,
740,,72,20,,,
741,,72,25,,,
742,,72,30,,,
743,,73,0,,,
744,,73,5,,,
745,,73,10,,,
746,,73,15,,,
747,,73,20,,,
748,,73,25,,,
749,,73,30,,,
750,,74,0,,,
751,,74,5,,,
752,,74,10,,,
753,,74,15,,,
754,,74,20,,,
755,,74,25,,,
756,,74,30,,,
757,,75,0,,,
758,19-15-75-5,75,5,,,
759,19-15-75-10,75,10,,,
760,19-15-75-15,75,15,,,
761,19-15-75-20,75,20,,,
762,19-15-75-25,75,25,,,
763,19-15-75-30,75,30,,,
764,19-17.5-71-0,71,0,,,
765,19-17.5-71-5,71,5,,,
766,19-17.5-71-10,71,10,,,
767,19-17.5-71-15,71,15,,,
768,19-17.5-71-20,71,20,,,
769,,71,25,,,
770,,71,30,,,
771,,72,0,,,
772,,72,5,,,
773,,72,10,,,
774,19-17.5-72-15,72,15,,,
775,19-17.5-72-20,72,20,,,
776,19-17.5-72-25,72,25,,,
777,19-17.5-72-30,72,30,,,
778,19-17.5-73-0,73,0,,,
779,19-17.5-73-5,73,5,,,
780,19-17.5-73-10,73,10,,,
781,19-17.5-73-15,73,15,,,
782,19-17.5-73-20,73,20,,,
783,19-17.5-73-25,73,25,,,
784,19-17.5-73-30,73,30,,,
785,19-17.5-75-0,75,0,,,
786,19-17.5-75-5,75,5,,,
787,19-17.5-75-10,75,10,,,
788,19-17.5-75-15,75,15,,,
789,19-17.5-75-20,75,20,,,
790,19-17.5-75-25,75,25,,,
791,19-17.5-75-30,75,30,,,
792,20-5-71-0,71,0,,,
793,20-5-71-5,71,5,,,
794,20-5-71-10,71,10,,,
795,20-5-71-15,71,15,,,
796,20-5-71-20,71,20,,,
797,20-5-71-25,71,25,,,
798,20-5-71-30,71,30,,,
799,20-5-75-0,75,0,,,
800,20-5-75-5,75,5,,,
801,20-5-75-10,75,10,,,
802,20-5-75-15,75,15,,,
803,20-5-75-20,75,20,,,
804,20-5-75-25,75,25,,,
805,20-5-75-30,75,30,,,
806,20-10-71-0,71,0,,,
807,20-10-71-5,71,5,,,
808,20-10-71-10,71,10,,,
809,20-10-71-15,71,15,,,
810,20-10-71-20,71,20,,,
811,20-10-71-25,71,25,,,
812,20-10-71-30,71,30,,,
813,20-10-72-0,72,0,,,
814,20-10-72-5,72,5,,,
815,20-10-72-10,72,10,,,
816,20-10-72-15,72,15,,,
817,20-10-72-20,72,20,,,
818,20-10-72-25,72,25,,,
819,20-10-72-30,72,30,,,
820,20-10-73-0,73,0,,,
821,20-10-73-5,73,5,,,
